ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2947443112,2026-07-10T14:48:16,2026-07-10T15:16:34,sell,0.01,0.01,XAUUSDm,4103.672,4102.916,4102.904,,,,0.75,,,sl
2947377965,2026-07-10T14:36:12,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4091.041,4098.9,,4104.071,,,7.86,,,user
2947373610,2026-07-10T14:35:52,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4091.627,4098.9,,4104.093,,,7.27,,,user
2947373562,2026-07-10T14:35:52,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4091.27,4098.9,,4104.071,,,7.63,,,user
2947377910,2026-07-10T14:36:11,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4091.149,4098.9,,4104.071,,,7.75,,,user
2947372675,2026-07-10T14:35:46,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4091.026,4098.9,,4104.071,,,7.87,,,user
2947372863,2026-07-10T14:35:47,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.662,4098.9,,4104.071,,,8.24,,,user
2947372627,2026-07-10T14:35:45,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4091.026,4098.9,,4104.071,,,7.87,,,user
2947372178,2026-07-10T14:35:42,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.563,4098.9,,4104.071,,,8.34,,,user
2947372193,2026-07-10T14:35:42,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.507,4098.9,,4104.071,,,8.39,,,user
2947372212,2026-07-10T14:35:42,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.681,4098.9,,4104.071,,,8.22,,,user
2947372548,2026-07-10T14:35:44,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.907,4098.9,,4104.071,,,7.99,,,user
2947372242,2026-07-10T14:35:43,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.693,4098.9,,4104.071,,,8.21,,,user
2947371985,2026-07-10T14:35:41,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4089.909,4098.9,,4104.071,,,8.99,,,user
2947372153,2026-07-10T14:35:42,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.572,4098.9,,4104.071,,,8.33,,,user
2947372053,2026-07-10T14:35:41,2026-07-10T14:43:29,buy,0.01,0.01,XAUUSDm,4090.858,4098.9,,4104.071,,,8.04,,,user
2941062706,2026-07-09T14:04:00,2026-07-10T10:53:21,sell,0.01,0.01,XAUUSDm,4134.29,4108.864,4133.584,,,,25.43,,,user
2941191530,2026-07-09T09:12:14,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.773,4109.308,,,,,-0.54,-6.24,,so
2941191504,2026-07-09T09:12:14,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.642,4109.308,,,,,-0.67,-6.24,,so
2941191494,2026-07-09T09:12:14,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.531,4109.308,,,,,-0.78,-6.24,,so
2941191479,2026-07-09T09:12:13,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.531,4109.308,,,,,-0.78,-6.24,,so
2941191101,2026-07-09T09:12:09,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.512,4109.308,,,,,-0.8,-6.24,,so
2941191100,2026-07-09T09:12:09,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.512,4109.308,,,,,-0.8,-6.24,,so
